"id_delivery_day","day","created_at","updated_at","is_delete"
1,senin,"2025-06-26 04:01:01",,0
2,selasa,"2025-06-26 04:01:01",,0
3,rabu,"2025-06-26 04:01:01",,0
4,kamis,"2025-06-26 04:01:01",,0
5,jumat,"2025-06-26 04:01:01",,0
6,sabtu,"2025-06-26 04:01:01",,0
7,minggu,"2025-06-26 04:01:01",,0
